screen_name;text;Labeling;location
portaljabarnet;"KOTA BANDUNG - Gubernur Jawa Barat (Jabar) Ridwan Kamil mengikuti acara ""Penyerahan Sertifikat Tanah untuk Rakyat se-Indonesi ... https://t.co/9UYwZOPkTQ #SertifikatTanah #PemdaJabar #RidwanKamil";Positive;West Java, Indonesia
ClickBandung;Ridwan Kamil: Bandung Raya dan Bodebek Kembali WFH Mulai 11 Januari 2021 https://t.co/y9ryoCAWxr https://t.co/Rs9Zm5pvHr;Positive;Bandung 
liputan6dotcom;Ridwan Kamil Makan Malam dengan Pemulung di Malam Tahun Baru https://t.co/FjKfgI5rok;Positive;Jakarta Indonesia
liputan6dotcom;Ridwan Kamil : Warga Jawa Barat Wajib Divaksinasi COVID-19 Sinovac Impor https://t.co/V6D3nmvRpZ;Positive;Jakarta Indonesia
hajinewsonline;Ridwan Kamil Fokus WFH 11-25 Januari, Bandung Raya dan Bodebek https://t.co/8D1AO4D4aK;Positive;DKI Jakarta
republikaonline;Emil telah memerintahkan kepala daerah untuk simulasi vaksinasi pekan ini. https://t.co/KWMeTw3Usz;Positive;Jakarta, Indonesia
republikaonline;Ridwan Kamil sebut Kapolda Jabar laporkan paket vaksin Sinovac sudah ada di Biofarma https://t.co/dCDP96r87v;Positive;Jakarta, Indonesia
republikaonline;Diharapkan pembangunan pemuda terus meningkat dan menjadi yang terbaik di Indonesia https://t.co/Un2Ja5YzDw;Positive;Jakarta, Indonesia
republikaonline;Banyak petugas medis yang gugur melawan Covid-19, setiap orang harusnya berkontribusi https://t.co/rsE9ZRjBfx;Positive;Jakarta, Indonesia
republikaonline;Teknis aturan PSBB akan disampaikan besok, dimulai pada 11 Januari. https://t.co/UiT0otQi9G;Positive;Jakarta, Indonesia
republikaonline;Jabar mendapat alokasi 97.080 dosis yang terbagi dalam dua tahap distribusi.  https://t.co/z34OcHJSEH;Positive;Jakarta, Indonesia
republikaonline;Emil sudah terdaftar sebagai relawan uji klinis vaksin yang dilakukan oleh Biofarma. https://t.co/lfZldHNO39;Positive;Jakarta, Indonesia
republikaonline;Industri pertanian dan pangan ternyata mampu bertahan bahkan melesat selama pandemi  https://t.co/A0cx00bkCt;Positive;Jakarta, Indonesia
jawapos;Gubernur Ridwan Kamil Sebut Ada 65 Wisatawan Diduga Positif Covid-19 https://t.co/OFaaiYaciP;Positive;Gedung Graha Pena Lt.10, Jl. Raya Kebayoran Lama No. 12, Kebayoran Lama, Jakarta Selatan, Indonesia 12210
jawapos;Ridwan Kamil Siapkan Teknis Pembatasan Aktivitas Bandung Raya-Bodebek https://t.co/2alUDkvYwL;Positive;Gedung Graha Pena Lt.10, Jl. Raya Kebayoran Lama No. 12, Kebayoran Lama, Jakarta Selatan, Indonesia 12210
jawapos;Ridwan Kamil Jamin Pengamanan Vaksin yang Sudah Sampai di Biofarma https://t.co/AAUY6P2o4b;Positive;Gedung Graha Pena Lt.10, Jl. Raya Kebayoran Lama No. 12, Kebayoran Lama, Jakarta Selatan, Indonesia 12210
jawapos;Ridwan Kamil Sebut Vaksinasi Covid-19 Sebagai Bentuk Bela Negara https://t.co/syEdkfzGLN;Positive;Gedung Graha Pena Lt.10, Jl. Raya Kebayoran Lama No. 12, Kebayoran Lama, Jakarta Selatan, Indonesia 12210
reiwacaniago;@Bagas_eaw @Lubis76777916 @RachlanNashidik Sdh loe gak usah pake vaksin nya. Untung, jd bisa buat org lain. Gitu aja repot. Loe lihat 1700 relawan di bandung, termasuk ridwan kamil, pada mati gak mereka tuh. Beruntung negara gak ngeluarkan biaya vaksin buat elo yg rewel bin cerewet;Positive;
CNNIndonesia;Kejar Herd Immunity, Ridwan Kamil Incar 67 Juta Dosis Vaksin https://t.co/njTOvHFomq;Positive;
CNNIndonesia;Ridwan Kamil Minta Garut Mulai Simulasi Suntik Vaksin Covid https://t.co/hTMabuFgLU;Positive;
CNNIndonesia;Ridwan Kamil: Tak Boleh Menolak Jika Ditunjuk untuk Divaksin https://t.co/E6bLzT2s7i;Positive;
CNNIndonesia;Ridwan Kamil Jamin Pengamanan Vaksin Corona di Bio Farma https://t.co/wLdbhUjpwy;Positive;
YenaGirlie;Ridwan Kamil Harap Tak Ada Nakes Menolak Vaksinasi Covid-19 https://t.co/YifUUocBu5 https://t.co/LVR1TI8bV5;Positive;ÜT: -6.9335477,107.5420709
YenaGirlie;Ridwan Kamil Pastikan Jaga Ketat Paket Vaksin Covid-19 di Gudang Bio Farma https://t.co/tSED532Y3C https://t.co/8pBvYlCeYB;Positive;ÜT: -6.9335477,107.5420709
dirty_links;Ridwan Kamil Harap Tak Ada Nakes Menolak Vaksinasi Covid-19 https://t.co/hVxMn1BnnT https://t.co/ojsR7gA7vh;Positive;di hp mu 
luthkurniawan;Pilpres 2024 sudah terlihat, bakal seperti pilkada jabar,  terdapat 3 calon. Ganjar-risma, anies-...., ridwan kamil-....;Positive;Jerusalem 
suncflovwer;Oh iya, lagi mikirin nih... Ridwan kamil kan sangat dihargai warga jawa barat. Nanti kalau dia dipindahkan ibu kota kayanya bakalan banyak fitnah. Canda fitnah...wkwkwk;Positive;
merdekadotcom;Ridwan Kamil: Laporan Kapolda Malam Tahun Baru di Jabar Sepi, Artinya Warga Patuh: Pergerakan dan aktivitas yang minim pun terjadi di wilayah pinggiran Kota Bandung. Hal tersebut berdasarkan pantauan CCTV dan laporan pihak kepolisian. Ini mengindikasikan… https://t.co/UDueDji5Z0;Positive;Indonesia
merdekadotcom;"Ridwan Kamil Imbau Warga Jabar Terafiliasi FPI Taati SKB Pemerintah: ""Indonesia butuh kedamaian, butuh ketaatan, mari kita fokus pada penyelesaian pandemi Covid-19, kita kurangi hal-hal yang mengurangi konsentrasi kita. Karena hukum adalah panglima… https://t.co/XKG9CAYHn8";Positive;Indonesia
merdekadotcom;Tes Acak ke Ribuan Wisatawan di Jabar, 65 Orang Reaktif Covid-19: Gubernur Jawa Barat, Ridwan Kamil mengungkapkan ada 65 wisatawan yang reaktif Covid-19 berdasarkan rapid tes antigen selama libur panjang akhir tahun 2020. Jumlah tersebut merupakan hasil… https://t.co/3vVeQCNcZF;Positive;Indonesia
merdekadotcom;Ridwan Kamil Klaim Jabar 10 Kali Lipat Siap Gelar Vaksinasi Covid-19: Ia mengusulkan kepada pemerintah pusat agar proses vaksinasi bisa dipercepat. Pasalnya, penyuntikan vaksin yang diprediksi bisa selesai dalam 15 bulan menurut dia terlalu lama. https://t.co/Z5xrI5u2lM;Positive;Indonesia
merdekadotcom;"Subuh Keliling di Garut, Ridwan Kamil Minta Pemda Gelar Simulasi Vaksinasi: ""Vaksinasi akan dimulai pertama kepada para tenaga kesehatan, kedua profesi non tenaga kesehatan, tapi yang bersinggungan dengan Covid-19, yaitu TNI, Polri, petugas pelayanan… https://t.co/5K2HnDj6Wk";Positive;Indonesia
merdekadotcom;Ridwan Kamil Sebut Wilayah Bandung Raya dan Bodebek jadi Fokus Pembatasan Kegiatan: Sebelum diberlakukan, Ridwan Kamil akan memaksimalkan sisa waktu untuk melakukan sosialisasi kepada masyarakat. Dia meminta media massa ikut membantu mengedukasi… https://t.co/ZndVc9Myyc;Positive;Indonesia
merdekadotcom;"Ridwan Kamil Wanti-Wanti Pembagian Bansos Corona Tunai Rp300.000 Tak Bikin Kerumunan: ""Presiden memberikan arahan kepada Pemda harus mengawal langsung, untuk memastikan tidak ada pemotongan. Potongan (bantuan) dengan alasan apa pun ranahnya pidana akan… https://t.co/gpdASaSPVc";Positive;Indonesia
merdekadotcom;Ridwan Kamil Klaim Ribuan Fasilitas Kesehatan di Jabar Siap Vaksinasi Covid-19: Distribusi vaksin masih berjalan ke berbagai daerah. Namun, dia belum mendapat laporan sejauh mana prosesnya. Hanya saja, jika berbicara target yang ditetapkan presiden,… https://t.co/DZIWqKU4Bq;Positive;Indonesia
merdekadotcom;"Ridwan Kamil: Depok dan Karawang Siaga 1, Keterisian Ruang Isolasi Sudah Darurat: ""Karena keterisian ruang isolasi juga sudah darurat, di Karawang keterisiannya 110 persen jadi ini mungkin rekor terburuk yang pernah kita ada, jadi sehingga harus kita… https://t.co/DR5KqNhH4x";Positive;Indonesia
merdekadotcom;"Bandung Sepi Jelang Tahun Baru, Ridwan Kamil Sebut Kepatuhan Warga Jabar Baik: ""Kami melakukan inspeksi di Ibu Kota Jawa Barat. Tim melakukan pengecekan di pinggiran. Terpantau secara visual minim, sepi bahkan jika dibandingkan hari normal,"" kata Ridwan… https://t.co/UxmObFMd0r";Positive;Indonesia
merdekadotcom;Ridwan Kamil Putuskan PSBB di Bogor, Depok dan Bekasi Diperpanjang Hingga 20 Januari: Ridwan Kamil meminta Bupati Bogor, Wali Kota Bogor, Wali Kota Depok, Bupati Bekasi, dan Wali Kota Bekasi menerapkan Pembatasan Sosial Berskala Besar (PSBB) secara… https://t.co/IpAS7lFmT4;Positive;Indonesia
merdekadotcom;Ridwan Kamil Harap Tak Ada Nakes Menolak Vaksinasi Covid-19: Dia berharap tidak ada tenaga kesehatan yang menolak vaksinasi. Orang yang ditunjuk untuk menjalani vaksinasi diibaratkan kewajiban untuk bela negara. https://t.co/KXa5ta8jAv;Positive;Indonesia
merdekadotcom;Ridwan Kamil Pastikan Jaga Ketat Paket Vaksin Covid-19 di Gudang Bio Farma: Vaksin yang dimaksud oleh Ridwan Kamil adalah 1,8 juta dosis vaksin Covid-19 tahap II buatan perusahaan farmasi asal Tiongkok, Sinovac. Semuanya disimpan dalam 11 kotak… https://t.co/cZSoK97XoN;Positive;Indonesia
ramadhandiaz_;@Rriizzkkyy_ Oh ya btw kata bapak ridwan kamil https://t.co/uFPvEHKcbk;Positive;
Alexikurnia;"Ridwan Kamil Ikuti Langkah Menhub, Pakai Hyundai Ioniq &amp; Kona Electric - https://t.co/nUzn4aRRMq https://t.co/fuxCwmwwop";Positive;DKI Jakarta, Indonesia
larassiregar25;Ridwan Kamil: 'Vaksin Adalah Kewajiban Jadi Tak Boleh Menolak Jika Ditunjuk' https://t.co/uOu89wrGlM https://t.co/CsgwSOtaDV;Positive;http://pelitariau.com/
sqndyprtma;@pokamimii ada, ridwan kamil;Positive;Central Java
detikcom;Gubernur Jawa Barat Ridwan Kamil menekankan kembali pentingnya vaksinasi sebagai jalan keluar dari pandemi COVID-19. Begini katanya: #RidwanKamil #VaksinCorona https://t.co/rszeHwXmTT;Positive;Jakarta, Indonesia
detikcom;"Video Gubernur Jabar Ridwan Kamil hampir ditabrak oleh pemotor yang ingin memotong jalan. Peristiwa tersebut terjadi saat di Jalan Ir H Djuanda, Dago, Kota Bandung.

via @20detik https://t.co/0cgjeaJGcR";Positive;Jakarta, Indonesia
detikcom;Gubernur Jabar Ridwan Kamil menargetkan vaksinasi COVID-19 bisa rampung maksimal 12 bulan. Untuk mencapai target tersebut perlu menambah tempat penyuntikan. #VaksinCorona #Jabar https://t.co/QNWfUPWTH6;Positive;Jakarta, Indonesia
detikcom;Gubernur Jabar Ridwan Kamil menanggapi pencopotan AAH sebagai Wakil Dekan Bidang Sumberdaya dan Organisasi Fakultas Perikanan dan Ilmu Kelautan (FKIP) Unpad. Apa katanya? #Unpad #RidwanKamil https://t.co/BDdGQhcxw1;Positive;Jakarta, Indonesia
detikcom;"Aduh! Hampir saja Gubernur Jawa Barat Ridwan Kamil ditabrak pemotor sebrono yang berkendara seenaknya dengan tak mengindahkan aturan berkendara. #RidwanKamil 

via @detikoto https://t.co/M75alE9Sig";Positive;Jakarta, Indonesia
detikcom;Gubernur Jawa Barat Ridwan Kamil menanggapi adanya wisatawan yang diputarbalik di Puncak Bogor karena kedapatan tak membawa surat rapid test antigen https://t.co/b6PPAdnbQ2;Positive;Jakarta, Indonesia
detikcom;Apa saja yang terjadi di Jabar hari ini? Berikut ulasannya. https://t.co/x21qxjsrp9;Positive;Jakarta, Indonesia
detikcom;"Peringati hari pernikahan ke-24, Ridwan Kamil berikan hadiah motor custom bergaya klasik untuk istrinya.

via @detikoto https://t.co/xzyoGwYeq4";Positive;Jakarta, Indonesia
detikcom;"Gubernur Jabar Ridwan Kamil mendorong proses vaksinasi COVID-19 bisa dilakukan lebih cepat dari waktu yang ditargetkan pemerintah pusat. Baginya, 15 bulan terlalu lama.

via @20detik https://t.co/SkYhEschvf";Positive;Jakarta, Indonesia
detikcom;Gubernur Jabar Ridwan Kamil menetapkan status siaga 1 untuk penanganan COVID-19 di Kabupaten Karawang dan Kota Depok. Ini titik sebarannya: #VirusCorona #Jabar https://t.co/fGotsZDKyO;Positive;Jakarta, Indonesia
detikcom;"#VIDEO Pemerintah resmi melarang segala aktivitas FPI pada Rabu (30/12). Usai pelarangan tersebut, kantor Gubernur Jawa Barat, Ridwan Kamil, hingga markas TNI-Polri di Jabar dihiasi karangan bunga. Begini penampakannya: 

via @20detik https://t.co/qyA8nLTFEc";Positive;Jakarta, Indonesia
detikcom;#VIDEO Pemerintah resmi melarang segala aktivitas FPI pada Rabu (30/12). Usai pelarangan tersebut, kantor Gubernur Jawa Barat, Ridwan Kamil, hingga markas TNI-Polri di Jabar dihiasi karangan bunga. Begini penampakannya: https://t.co/U0qokMOzg1;Positive;Jakarta, Indonesia
detikcom;Keterisian ruang isolasi COVID-19 di Kabupaten Karawang telah mencapai 110 persen. Hal itu menjadi salah satu pertimbangan Ridwan Kamil untuk menetapkan status siaga 1. #Karawang #VirusCorona https://t.co/D4uuM5epmx;Positive;Jakarta, Indonesia
detikcom;Viral video Gubernur Jabar Ridwan Kamil hampir tertabrak oleh pengguna sepeda motor yang memotong jalan saat menunggangi Motor Royale Anfield miliknya di Jalan Ir H Djuanda, Dago, Kota Bandung. Begini cerita saksi: #RidwanKamil #Bandung https://t.co/Pzk5inhUno;Positive;Jakarta, Indonesia
detikcom;Gubernur Jawa Barat Ridwan Kamil menetapkan PSBB proporsional untuk wilayah Bogor, Depok dan Bekasi (Bodebek) hingga 20 Januari 2021. #PSBB https://t.co/D1n23ZmuOQ;Positive;Jakarta, Indonesia
detikcom;Menjelang pergantian tahun 2021, Gubernur Jawa Barat Ridwan Kamil melakukan inspeksi di Ibu Kota Jawa Barat, Kota Bandung. Dalam inspeksinya, Kang Emil menilai pergerakan masyarakat di Bandung lebih rendah dari hari-hari sebelumnya. https://t.co/3NY4NGqsUM;Positive;Jakarta, Indonesia
detikcom;Bekerja dari rumah atau work from home (WFH) akan kembali dilakukan di wilayah Bodebek dan Bandung Raya mulai 11 Januari 2021. #Jabar #WFH https://t.co/0Fq1sUC9fc;Positive;Jakarta, Indonesia
detikcom;"Sambut tahun baru, Ridwan Kamil mengisi momen ini dengan mengunjungi seorang pemulung yang beberapa waktu lalu viral karena membawa bayinya saat bekerja. #RidwanKamil 

via @detikoto https://t.co/wMLOJPo996";Positive;Jakarta, Indonesia
wannakissurbody;Ternyata jadi pak ridwan kamil berat ya;Positive;Bandung, Indonesia
tempodotco;Gubernur Jawa Barat Ridwan Kamil mengatakan dua daerah di Jawa Barat berstatus siaga satu karena masuk dalam peta zona merah penyebaran Covid-19 selama empat pekan berturut-turut. #TempoMetro https://t.co/wKxCKYXTcT;Positive;Indonesia
tempodotco;Jawa Barat 14 Januari Mulai Vaksinasi Covid-19? Ini Kata Satgas dan Ridwan Kamil https://t.co/cXbXJD128R #TempoNasional;Positive;Indonesia
tempodotco;Libur Tahun Baru 2021, Ridwan Kamil Kendalikan Kerumunan, Keramaian, Pergerakan https://t.co/14G5ohKUVd #TempoTravel;Positive;Indonesia
tempodotco;"Gubernur Jawa Barat Ridwan Kamil mengaku sedang mengupayakan menekan tingkat keterisian ruang rawat inap rumah sakit rujukan Covid-19 yang kini sudah menembus angka 78 persen. #TempoNasional 
https://t.co/csP3QVgLAp";Positive;Indonesia
tempodotco;Hadiahi Atalia Sepeda Motor Desain Sendiri, Ridwan Kamil Berpesan ke Ibu-ibu https://t.co/ycc7EEt0f7 #TempoSeleb;Positive;Indonesia
tempodotco;Ridwan Kamil menghadiahi istrinya, Atalia Praratya, sepeda motor kopling dengan tampilan retro yang sudah dimodifikasi hasil desainnya sendiri. #TempoSeleb https://t.co/8D202EXciW;Positive;Indonesia
tempodotco;Ridwan Kamil dan Atalia Praratya Rayakan Tahun Baru Bersama Keluarga Pemulung https://t.co/b5WdYnuZNY #TempoSeleb;Positive;Indonesia
tempodotco;"Gubernur Jawa Barat Ridwan Kamil mengaku sedang mengupayakan menekan tingkat keterisian ruang rawat inap rumah sakit rujukan Covid-19 yang kini sudah menembus angka 78 persen. #TempoNasional

https://t.co/fNhahyZwlZ";Positive;Indonesia
tempodotco;Ridwan Kamil Ingin Penyuntikkan Vaksin Covid-19 di Jabar Rampung 6 Bulan https://t.co/KD3RLkwqjr #TempoNasional;Positive;Indonesia
tempodotco;Gaya Ridwan Kamil saat Tinjau Kontainer Pendingin Vaksin Covid-19 https://t.co/fPovcU2rPG #TempoFoto;Positive;Indonesia
tempodotco;Ridwan Kamil Doakan Kesembuhan Aa Gym, Syekh Ali Jaber dan Cinta Netizen https://t.co/hsuEoFq7TU #TempoSeleb;Positive;Indonesia
tempodotco;Ridwan Kamil Umumkan Wilayah Siaga 1 Covid-19, Karawang Terburuk di Jawa Barat https://t.co/ovGButqAUI #TempoMetro;Positive;Indonesia
tempodotco;Ridwan Kamil Olahraga Cang-ucang Angge, Bahasa Ade Rai Leg Day https://t.co/DnOilxyDLr #TempoGaya;Positive;Indonesia
tempodotco;Ridwal Kamil menghadiahi istrinya Atalia Praratya sepeda motor yang dimodifikasi khusus di hari pernikahannya yang ke-24 tahun. #TempoOtomotif https://t.co/YQBfO7lgV4;Positive;Indonesia
tempodotco;Ruang ICU Covid-19 Menipis, Ridwan Kamil Akan Aktifkan Rumah Sakit Darurat https://t.co/h84w0pCT0Z #TempoNasional;Positive;Indonesia
KencanaNada;"Capek siihh tapi happy <U+0001F974><U+0001F970>,
Klo kata Ridwan kamil ""pekerjaan yg paling menyenangkan adalah hobi yg di bayar""<U+263A><U+FE0F> bener bgt ternyata,i feel it and i'm happy<U+0001F60D> https://t.co/jP2Gd6rHav";Positive;
rckyabet33;@akhlakpowerbank @hrynt_ @fjrassvet Da ek ngetag ridwan kamil sieun ditewak :(;Positive;Banjar, Indonesia
alineadotid;"Ridwan Kamil takkan ikut program vaksinasi Covid-19
https://t.co/JUqv0S95CK https://t.co/M6Ha4Ia5Uq";Positive;Indonesia
adviprast;"Udh jelas kan? <U+0001F60A>

https://t.co/8ac0eQBeNI";Positive;Indonesia
Radar_Cirebon;BANDUNG - Gubernur Jawa Barat (Jabar) Ridwan Kamil menyalurkan secara simbolis bantuan sosial (bansos) tunai pemerintah pusat dalam hal ini Kemensos, kepada https://t.co/TScezjHwDj;Positive;Cirebon, Indonesia
Radar_Cirebon;GUBERNUR Ridwan Kamil memastikan, sekitar 1.000 lebih pusat kesehatan masyarakat (puskesmas) yang tersebar di Jabar siap menggelar vaksinasi Covid-19. Tak hanya itu, https://t.co/97Rb747Dlk;Positive;Cirebon, Indonesia
Radar_Cirebon;"BANDUNG - Gubernur Jawa Barat (Jabar) Ridwan Kamil mengikuti acara ""Penyerahan Sertifikat Tanah untuk Rakyat se-Indonesia"" bersama Presiden Republik Indonesia (RI) secara https://t.co/TpSLAje6LT";Positive;Cirebon, Indonesia
Radar_Cirebon;BANDUNG – Gubernur Jawa Barat (Jabar) Ridwan Kamil menyalurkan secara simbolis bantuan tunai pemerintah pusat kepada masyarakat terdampak pandemi COVID-19, di Aula https://t.co/e48ieHhLye;Positive;Cirebon, Indonesia
Radar_Cirebon;GARUT - Gubernur Jawa Barat (Jabar) Ridwan Kamil kembali menggelar Subuh Berjamaah Keliling atau Subling dengan tetap menerapkan protokol kesehatan di Masjid https://t.co/zAfC2l83QU;Positive;Cirebon, Indonesia
Radar_Cirebon;GUBERNUR Ridwan Kamil menyalurkan secara simbolis bantuan tunai pemerintah pusat kepada masyarakat terdampak pandemi Covid-19, di Aula Timur Gedung Sate, Kota Bandung. https://t.co/Jb8DkAr8wj;Positive;Cirebon, Indonesia
Radar_Cirebon;GUBERNUR Jawa Barat, Ridwan Kamil menyalurkan secara simbolis bantuan tunai pemerintah pusat kepada masyarakat terdampak pandemi Covid-19, di Aula Timur Gedung Sate, https://t.co/7ncRWsUu8z;Positive;Cirebon, Indonesia
Radar_Cirebon;BANDUNG - Gubernur Jawa Barat (Jabar) Ridwan Kamil dinobatkan sebagai Bapak Pembangunan Kepemudaan Jabar di ajang KNPI Awards 2020 yang digelar secara https://t.co/eM5ZLyVWTy;Positive;Cirebon, Indonesia
RKmiddleeast;@HSajwanization @MohamedBinZayed Man of century.... MBZ, MBS, RIDWAN KAMIL @ridwankamil https://t.co/tGxYi2VK1m;Positive;Bandung, West Java
kabarpol;Ridwan Kamil Sampaikan Berita Baik untuk Warga Garut https://t.co/SI6OT59M9E;Positive;
kabarpol;Ridwan Kamil Sampaikan Ucapan Terimakasih https://t.co/ICE8uZbo5y;Positive;
kabarpol;Ridwan Kamil Apresiasi Kepatuhan Masyarakat Hadapi Pergantian Tahun https://t.co/F2B0XWOZ4u;Positive;
kabarpol;Ridwan Kamil Bahas Raperda Penyelenggaraan Perkebunan di Penghujung 2020 https://t.co/xELpXBXSRa;Positive;
kabarpol;Ridwan Kamil Tanda Tangani Perjanjian Pinjaman Daerah 2021 https://t.co/vcAgUwKU0M;Positive;
kabarpol;Syekh Ali Jaber dan Aa Gym Covid-19, Ridwan Kamil: Doa Terbaik Saya untuk Kesembuhan Guru-guru Kita https://t.co/5dP5FrRlxg;Positive;
kabarpol;Ridwan Kamil Tinjau Gudang Vaksin Covid-19 https://t.co/uLffH1hxwW;Positive;
kabarpolitik;Ridwan Kamil Sampaikan Berita Baik untuk Warga Garut https://t.co/doOYw2tvnf;Positive;jakarta
kabarpolitik;Ridwan Kamil Tanda Tangani Perjanjian Pinjaman Daerah 2021 https://t.co/a91VGsWPkS;Positive;jakarta
kabarpolitik;Syekh Ali Jaber dan Aa Gym Covid-19, Ridwan Kamil: Doa Terbaik Saya untuk Kesembuhan Guru-guru Kita https://t.co/RhFiYvqVsd;Positive;jakarta
kabarpolitik;Ridwan Kamil Sampaikan Ucapan Terimakasih https://t.co/hHrlT9E5Rc;Positive;jakarta
kabarpolitik;Ridwan Kamil Tinjau Gudang Vaksin Covid-19 https://t.co/4seBD2dTYJ;Positive;jakarta
kabarpolitik;Ridwan Kamil Apresiasi Kepatuhan Masyarakat Hadapi Pergantian Tahun https://t.co/OQ3g9RRtnx;Positive;jakarta
kabarpolitik;Ridwan Kamil Bahas Raperda Penyelenggaraan Perkebunan di Penghujung 2020 https://t.co/4uEP1MZq6l;Positive;jakarta
Antara_Jabar;Gubernur Ridwan Kamil sebut vaksinasi COVID-19 sebagai bentuk bela negara - ANTARA News Jawa Barat https://t.co/00vQLFj76z;Positive;Indonesia
Antara_Jabar;Ini jurus Ridwan Kamil kendalikan COVID-19 saat libur akhir tahun - ANTARA News Jawa Barat https://t.co/pmCNu499vd;Positive;Indonesia
Antara_Jabar;Gubernur Ridwan Kamil minta ANTARA sumbang foto bagi Monumen Pahlawan COVID-19 - ANTARA News Jawa Barat https://t.co/AcWrv4OUSv;Positive;Indonesia
Antara_Jabar;Ridwan Kamil gubernur terpegah dan tervokal kedua setelah Anies Baswedan - ANTARA News Jawa Barat https://t.co/OKlpz9T11x;Positive;Indonesia
Antara_Jabar;KNPI nobatkan Ridwan Kamil Bapak Pembangunan Kepemudaan Jawa Barat - ANTARA News Jawa Barat https://t.co/zKIwu6nxrD;Positive;Indonesia
